Iteration	Posterior	Likelihood	Prior	mu	sigma
350	-30.5818	-25.1879	-5.39388	13.8455	2.39815
351	-30.2787	-24.8848	-5.39388	13.9838	2.39815
352	-30.2186	-24.8247	-5.39388	14.0131	2.39815
353	-30.2186	-24.8247	-5.39388	14.0131	2.39815
354	-30.2186	-24.8247	-5.39388	14.0131	2.39815
355	-30.1863	-24.6862	-5.50012	14.0131	2.50439
356	-29.9361	-24.436	-5.50012	14.157	2.50439
357	-30.5792	-25.079	-5.50012	13.8176	2.50439
358	-31.0217	-25.5215	-5.50012	13.6267	2.50439
359	-30.0253	-24.4155	-5.60979	14.1245	2.61405
360	-30.0989	-24.8307	-5.26823	14.1245	2.2725
361	-29.755	-24.4868	-5.26823	14.3098	2.2725
362	-29.6857	-24.4175	-5.26823	14.3522	2.2725
363	-31.3871	-26.3997	-4.98741	13.9044	1.99168
364	-31.4176	-25.187	-6.23055	13.6462	3.23482
365	-31.085	-24.8544	-6.23055	13.8938	3.23482
366	-30.6358	-24.4053	-6.23055	14.3371	3.23482
367	-29.7129	-24.1291	-5.58384	14.3371	2.58811
368	-29.2247	-23.6408	-5.58384	14.9543	2.58811
369	-29.5736	-23.9898	-5.58384	14.4569	2.58811
370	-29.8599	-24.8428	-5.01712	14.4909	2.02138
371	-29.9073	-24.8902	-5.01712	14.4632	2.02138
372	-29.7397	-23.8988	-5.84092	14.6152	2.84519
373	-29.901	-24.0601	-5.84092	14.4172	2.84519
374	-29.7794	-23.9385	-5.84092	14.5605	2.84519
375	-30.7051	-25.9274	-4.77768	14.5518	1.78195
376	-30.5227	-25.7112	-4.81144	14.5518	1.81571
377	-30.4466	-25.7121	-4.73449	14.9038	1.73875
378	-30.5939	-25.8594	-4.73449	14.7719	1.73875
379	-30.3328	-25.5983	-4.73449	15.1043	1.73875
380	-29.3971	-23.653	-5.74408	15.1043	2.74835
381	-29.3189	-23.6303	-5.68861	15.1043	2.69288
382	-29.3767	-23.6881	-5.68861	15.4737	2.69288
383	-29.3437	-23.6551	-5.68861	15.3781	2.69288
384	-29.065	-23.7303	-5.33469	15.3781	2.33896
385	-31.3183	-26.7132	-4.60515	15.3781	1.60941
386	-31.3183	-26.7132	-4.60515	15.3781	1.60941
387	-31.3511	-26.746	-4.60515	14.9348	1.60941
388	-29.4189	-24.4307	-4.98813	14.9393	1.9924
389	-29.6467	-24.6586	-4.98813	14.689	1.9924
390	-29.3815	-24.3934	-4.98813	15.0138	1.9924
391	-29.4363	-24.4481	-4.98813	15.4395	1.9924
392	-29.3586	-24.3705	-4.98813	15.086	1.9924
393	-29.3586	-24.3705	-4.98813	15.086	1.9924
394	-29.1302	-23.6124	-5.51781	15.086	2.52208
395	-29.1867	-23.6689	-5.51781	14.8929	2.52208
396	-29.4605	-23.9427	-5.51781	14.5211	2.52208
397	-29.619	-23.8108	-5.80828	14.7281	2.81254
398	-29.5602	-23.7519	-5.80828	14.8484	2.81254
399	-29.2657	-24.1621	-5.10366	14.8484	2.10793
400	-29.5236	-24.42	-5.10366	14.5957	2.10793
401	-29.5236	-24.42	-5.10366	14.5957	2.10793
402	-29.5236	-24.42	-5.10366	14.5957	2.10793
403	-29.9582	-23.9915	-5.9667	14.5957	2.97096
404	-29.6605	-24.6258	-5.03467	14.5931	2.03894
405	-29.932	-23.9815	-5.95045	14.5931	2.95471
406	-29.762	-23.8115	-5.95045	15.3817	2.95471
407	-29.7483	-23.7978	-5.95045	15.0394	2.95471
408	-29.7765	-23.8261	-5.95045	14.9151	2.95471
409	-29.8152	-23.8648	-5.95045	14.8075	2.95471
410	-29.9474	-23.9969	-5.95045	14.5704	2.95471
411	-29.9474	-23.9969	-5.95045	14.5704	2.95471
412	-30.0777	-24.1273	-5.95045	14.405	2.95471
413	-30.1683	-24.184	-5.98435	14.3652	2.98861
414	-29.6594	-24.1049	-5.55454	14.3652	2.55881
415	-29.8166	-24.2621	-5.55454	14.2469	2.55881
416	-31.4553	-24.863	-6.59237	14.2469	3.59664
417	-29.798	-24.293	-5.50498	14.2469	2.50925
418	-29.8007	-24.4317	-5.36901	14.2469	2.37328
419	-30.297	-24.9279	-5.36901	13.9833	2.37328
420	-29.6164	-24.2474	-5.36901	14.3663	2.37328
421	-29.8161	-24.4471	-5.36901	14.2376	2.37328
422	-29.6323	-24.2633	-5.36901	14.3553	2.37328
423	-29.6323	-24.2633	-5.36901	14.3553	2.37328
424	-29.4123	-24.3149	-5.09741	14.6973	2.10167
425	-29.3927	-23.7748	-5.61797	14.6973	2.62224
426	-29.7242	-24.1062	-5.61797	14.3482	2.62224
427	-33.0045	-25.7925	-7.21201	14.0362	4.21628
428	-33.0494	-25.8374	-7.21201	13.9681	4.21628
429	-33.2252	-26.0132	-7.21201	13.7323	4.21628
430	-31.1858	-25.0292	-6.1566	13.7323	3.16087
431	-30.9226	-24.766	-6.1566	13.9277	3.16087
432	-31.8112	-25.6546	-6.1566	13.35	3.16087
433	-31.2815	-25.1249	-6.1566	13.6675	3.16087
434	-31.3899	-25.2333	-6.1566	13.5973	3.16087
435	-31.3899	-25.2333	-6.1566	13.5973	3.16087
436	-31.0597	-25.5041	-5.55556	13.5973	2.55983
437	-31.0985	-25.603	-5.49549	13.5973	2.49975
438	-32.0032	-26.9132	-5.08998	13.5973	2.09424
439	-31.041	-25.4365	-5.60447	13.5973	2.60874
440	-30.8292	-24.827	-6.00217	13.8347	3.00644
441	-30.7028	-25.4491	-5.25375	13.8706	2.25802
442	-31.5218	-26.5399	-4.98186	13.8706	1.98612
443	-30.2268	-25.245	-4.98186	14.3501	1.98612
444	-30.025	-25.0431	-4.98186	14.453	1.98612
445	-30.025	-25.0431	-4.98186	14.453	1.98612
446	-29.4405	-23.8135	-5.62701	14.6448	2.63128
447	-29.3319	-23.7049	-5.62701	14.8132	2.63128
448	-29.239	-23.612	-5.62701	15.1233	2.63128
449	-29.643	-23.7557	-5.88729	15.0003	2.89156
450	-29.6996	-23.8123	-5.88729	14.8217	2.89156
451	-29.7189	-23.8316	-5.88729	14.7787	2.89156
452	-31.0642	-24.5229	-6.54129	14.7787	3.54556
453	-31.0949	-24.5536	-6.54129	14.6911	3.54556
454	-31.0949	-24.5536	-6.54129	14.6911	3.54556
455	-30.477	-24.2154	-6.26156	14.6911	3.26583
456	-30.477	-24.2154	-6.26156	14.6911	3.26583
457	-30.4511	-24.1895	-6.26156	14.7519	3.26583
458	-31.063	-24.5182	-6.54479	14.8093	3.54906
459	-29.4095	-24.1178	-5.29163	14.5398	2.2959
460	-29.258	-24.1246	-5.13344	14.8086	2.1377
461	-29.5653	-23.765	-5.80025	14.8086	2.80452
462	-29.5157	-23.7154	-5.80025	14.9377	2.80452
463	-29.3549	-23.666	-5.68896	14.9377	2.69323
